Titre,categorie,hashtag,Description - extrait (en),Date,URL,URL image,URL video
Scoutee,Connected Sports Gear,#baseball,"Scoutee is a connected device that measures and evaluates your baseball game. The custom mobile app provides history, video with performance data overlay, data and video analysis, and sharing.",03/11/2016,http://scoutee.co/,http://scoutee.co/wp-content/uploads/scoutee-1.jpg,
"Mio Global, smarter than smart devices",Connected Sports Gear,#wristband #heart-rate-only,"""It's not the number of steps that counts, it's how much heart you put into it"". Mio Global is a connected wristband that gives a score to your daily activity, based on your heart rate only. It claims to be smarter than the other connected devices because the activity tracker is ""more intelligent and makes sense of heart rate data"".",04/11/2016,http://www.sporttechie.com/2016/11/04/fitness/mio-global-earns-15-million-in-funding-introduces-personal-activity-intelligence/,http://www.mioglobal.com/images/2016-slice-header.jpg,
"Whoop, the wristband that tells you what to do",Connected Sports Gear,#wristband #coach,"""Nowadays connected devices tell you a vague version of what’s happened, but they don’t tell you effectively what to do."" Whoop is a smart sport wristband that tracks your data, and then tells you what you need to do, to improve your skills, recover or feel better. It was designed for athletes and military, now available for everyone.",15/11/2016,http://www.sporttechie.com/2016/11/15/gadgets/wearables/whoop-goes-direct-to-consumer-with-performance-optimization-system/,https://cdn.shopify.com/s/files/1/1040/0152/products/WHOOP2_1024x1024.jpg,
Fitbit and NBA 2K17 partner to make gamers healthy,Connected Sports Gear,#gamers #healthy,"The famous basketball video game now includes specific rewards for gamers that achieve Fitbit challenges in real-life. ""By rewarding gamers for healthy lifestyle habits, we hope to help motivate them to achieve their goals in life and in-game.”",17/11/2016,https://www.wareable.com/gaming/nba2k17-and-fitbit-team-up-for-in-game-rewards-if-you-up-your-step-count-3518,http://www.sporttechie.com/wp-content/uploads/2016/11/Screen-Shot-2016-11-17-at-9.16.23-AM.png,
A patch to measure sweat,Connected Sports Gear,#patch #sweat,A research team has designed a flexible patch that sticks on the skin and can be used to measure the wearer’s sweat and determine how his or her body is reacting to exercise.,02/12/2016,http://www.sporttechie.com/2016/12/02/sportsscience/northwestern-university-develops-patch-that-measures-sweat/,http://www.sporttechie.com/wp-content/uploads/2016/12/skin_implant_square21-e1480687896870.png,
Smart headbands to detect head impacts,Connected Sports Gear,#headband #health,"A Michigan startupt created a headband that can detect and differentiate the different degrees of impacts. They can be used in violent games like football, rubgy and soccer, and help healing head injuries.",07/12/2016,http://www.sporttechie.com/2016/12/07/technology/michigan-state-university-venture-fund-startup-develops-smart-headband-to-detect-head-impacts/,http://www.sporttechie.com/wp-content/uploads/2016/12/concussion_headband.jpg,
Virtual Reality to serve Major League Baseball,VR,#baseball #performance,"Trinity VR has created DiamondFX, a VR platform designed to allow hitters to use their own bat when facing a virtual opponent. Hitters feel a small rumble when they make contact via a puck-shaped attachment on the knob of their bat. Statistics like bat speed, launch angle and exit velocity are immediately displayed after contact is made.",21/12/2016,http://www.sporttechie.com/2016/12/21/sports/mlb/how-trinityvrs-diamondfx-platform-could-change-the-game-for-major-league-baseball/,http://s3.amazonaws.com/digitaltrends-uploads-prod/2016/04/Tampa-Bay-Rays.jpg,
Sacramento Kings give fans all-access experience through Snapchat,Interactive Experiences,#basketball #snapchat,"""Fans want to know what’s going on behind the scenes. They want the VIP, all-access experience"". The report is clear, and Sacramento Kings players understood it. They have included Snapchat in their daily communication to make fans feel closer to them, notably by using specific glasses that streams video live. Smart move from the famous american basketball team !
",23/12/2016,http://www.sporttechie.com/2016/12/23/sports/nba/sacramento-kings-give-fans-all-access-experience-through-snapchat-spectacles/,http://i.cdn.turner.com/drp/nba/kings/sites/default/files/styles/story_main_photo/public/kingssnapchat_lrg.jpeg,
Bodytrak earbuds scan your vital signs in real-time,Connected Sports Gear,#earbuds #performance,"Bodytrak is the first in-ear, real-time body monitoring wearable. According to the creator, it is able to accurately measure multiple vital health signs including core body temperature, heart rate, Vo2, speed, distance, and cadence. The benefits could be huge for athletes to improve physical performance, reduce injury, detect illness and increase recovery time.",02/01/2017,http://www.sporttechie.com/2017/01/03/gadgets/wearables/bodytrak-is-first-in-ear-body-monitoring-system-for-athletes-tracking-multiple-vital-signs/,http://www.bodytrak.co/images/home-top.jpg,
"Motiv Ring, the first fashionable fitness ring",Connected Sports Gear,#fashion #fitness,"""The newest personal fitness tracker is so discrete, it looks like it could be a wedding band"". This new smart device tracks the wearer’s sleep, heart rate and activity. Motiv decided to create a ring for its first product as opposed to the traditional bracelet with the goal of giving users a fitness tracker that would “fit seamlessly into your life” and that “you never want to take off.” ",03/01/2017,https://techcrunch.com/2017/01/03/motiv-ring/,https://tctechcrunch2011.files.wordpress.com/2017/01/img_9620_720.jpg,
Polar's new t-shirt tracks your sportive data,Connected Sports Gear,#t-shirt #performance,Wearable sports technology company Polar added an apparel category to its growing fitness portfolio : the Polar Team Pro Shirt. It is able to track the wearer heart rate and geolocalization to give him metrics and performance data.,04/01/2017,http://www.sporttechie.com/2017/01/04/fitness/polar-adds-wearable-apparel-category-to-fitness-portfolio/,http://www.journaldugeek.com/wp-content/blogs.dir/1/files/2017/01/Polar-Team-Pro-Shirt-2-1.jpg,
New Balance launches its first smart device,Connected Sports Gear,#lifestyle #android,"New Balance announces its first Android Wear watch, named RunIQ. Parterned with Google and Intel on the software, this smart watch has a GPS and heart rate monitor that will keep track on your vitals in real time.",07/01/2017,http://gadgetsandwearables.com/2017/02/07/runiq/,http://icdn3.digitaltrends.com/image/new-balance-runiq-hands-on-4-970x647-c.jpg,
"Withings Steel HR, smart and elegant wtach",Connected Sports Gear,#fashion #watch,"Withings Steel HR is the first analog device to have heart-rate tracking. It's also a fashionable health watch that tracks activity, heart rate and phone notifications. Withing Steel aims to be sleek and easy to use with it’s classic French design.",12/01/2017,http://www.sporttechie.com/2017/01/12/gadgets/wearables/first-analog-watch-with-heart-rate-tracking-hits-the-market/,http://www.sporttechie.com/wp-content/uploads/2017/01/STEEL_HR_APP-3-e1484248395169.jpg,
"Footbeat, the socket that improves your blood circulation",Connected Sports Gear,#health #performance,Footbeat is a new wearable technology that improves health and athletic performance by increasing circulation through cyclic pressure that is applied to the arch of the foot.,13/01/2017,http://www.sporttechie.com/2017/01/13/gadgets/wearables/footbeat-receives-funding-to-improve-lower-body-circulation-for-athletic-recovery/,https://footbeat.com/wp-content/uploads/2016/12/Footbeat-Moving-Blood2.gif,
Spyder Skiwear makes skiers connected,Connected Sports Gear,#fashion #share,"Spyder new skiwear collected is a wearable technology that makes wearers feel connected to members of the U.S. Ski Team through social media as well as share maps, snow conditions and location-based information.",18/01/2017,http://www.sporttechie.com/2017/01/18/gadgets/wearables/spyder-skiwear-enables-users-to-stay-connected-on-the-slopes/,http://www.montagne-france.fr/wp-content/uploads/2016/11/Comment-louer-votre-materiel-de-ski-moins-cher-.jpg,
NBA teams banned from using wearables data ,Connected Sports Gear,#nba #data,"“The data may not be considered, used, discussed or referenced for any other purpose such as in negotiations"". NBA teams have signed an agreement to prevent negociations from using performance data from players, in the objective of preventing unwanted inequalities in players' game.",31/01/2017,http://www.sporttechie.com/2017/01/31/sports/nba/nba-teams-banned-using-wearables-data-contract-negotiations-player-transactions/,https://static4.wareable.com/media/imager/12079-76baf30e83104ef1791b1e935646b9fc.jpg,
New app Firefan is a game within the game,App,#quiz #live,"Firefan is a new game app dedicated to sport fans, that lets you play within a sport game. The creator clears it simply : ""it's live real time questions that allow you to participate in the game."" This new kind of app adds a new dimension of interactivity and playfullness during the real sport events, which is somehow new.",31/01/2017,http://www.good4utah.com/sports/new-interactive-sports-game-app-firefan-is-sweeping-the-nation/647958046,https://reviewster.com/wp-content/uploads/2016/10/firefan-gameplay.png,
A wearable patch to scan your hydratation level,Connected Sports Gear,#hydration #patch,"North Carolina State University researchers have developed new wearable technology that tracks hydration in real-time through a skin hydration sensor. Researchers believe the benefits of this technology can be utilized in many ways, including by athletes.",07/02/2017,http://www.sporttechie.com/2017/02/07/sportsscience/north-carolina-state-researchers-develop-sensor-to-measure-skin-hydration-in-real-time/,http://www.sporttechie.com/wp-content/uploads/2017/02/Zhu-hydration-patch-HEADER-1500-825x464.jpg,
Interactive Gym Wall,Interactive Experiences,#gym #wall,"SAGA has developed an interactive and playful wall that reacts to the contact of physical objects. Both virtual and sportive games are now possible, thanks to new technlogies such as Kinect and mapping.",10/02/2017,http://www.huffingtonpost.fr/2017/02/10/grace-a-ce-mur-interactif-les-cours-de-sport-a-l-ecole-vont-devenir-vrais-jeux-video/,https://i.ytimg.com/vi/PMbtBpovGQs/maxresdefault.jpg,https://www.youtube.com/watch?v=PMbtBpovGQs
FreeDriver VR,VR,#biking #oculus,"FreeDriver VR, launched recently by GymCraft, is a new virtual reality experience including a Kettler bicycle, Oculus goggles and a video game controller.
It seeks to immerse users in a workout experience of mountain biking on the Spanish coast. When users hit a steep slope within the VR world, this difficulty level will be instantly mimic by their exercise bike. The user can play alone or compete with others on different courses.",21/02/2017,http://www.sporttechie.com/2017/02/21/fitness/gymcraft-launches-freedriver-vr-as-virtual-exercise-bike-workout-experience/,http://go.gymcraft.es/images/news/news_1_2.jpg,https://www.youtube.com/watch?v=Fdj43vpTeno
"CricFlex, armband to help cricketers get better",Connected Sports Gear,#cricket #armband,"CricFlex is an arm sleeve that cricket players can use to train and evaluate their bowling angle, and also to determine if the angle is legal or illegal. An angle greater than 15 degrees is illegal.",22/02/2017,http://www.sporttechie.com/2017/02/22/gadgets/wearables/cricflex-has-performance-tracking-wearable-sleeve-technology-for-cricketers/,https://www.tevonews.com/images/TEVOnews/2017/February/cricketmonitoring.jpg,
‘We Are Baseball’ Experience,VR,#baseball #narrative,"‘We Are Baseball’ Experience is taking place in March in Scottsdale. This interactive museum experience is a collaboration of baseball and technology. We Are Baseball features virtual reality, an original IMAX movie and specially curated artifacts from The National Baseball Hall of Fame and Museum.",27/02/2017,http://www.sporttechie.com/2017/02/27/sports/mlb/we-are-baseball-experience-highlights-baseball-and-technology/,http://prnewswire2-a.akamaihd.net/p/1893751/sp/189375100/thumbnail/entry_id/1_kj2rsu13/def_height/480/def_width/1600/,https://www.youtube.com/watch?v=LqgiF5P1o1I
Knockout League's game in VR,VR,#arcade #boxing,"Vive Studios, the virtual reality content development and publishing initiative from HTC VIVE, has launched the early access version of arcade-style boxing game Knockout League.
Developed by Grab Games, Knockout League is a single-player game built for motion-control and VR, with gameplay that makes players use their body as they move, dodge and fight.",01/03/2017,http://www.sporttechie.com/2017/03/01/virtual-reality/new-vr-game-brings-arcade-style-boxing-to-virtual-reality-in-knockout-league/,http://www.sporttechie.com/wp-content/uploads/2017/03/65-e1488383536506.png,https://www.youtube.com/watch?v=HdJIpbdrCD0
"In-Out, hawk eye system",Connected Sports Gear,#tennis #inOut,"In-Out is a hawk eye system for tennis. 
Built by a french engineer based in USA, In-Out is a special Go-pro which scans tennis court and says when a ball is out. You can view your game data directly on a smartphone or by connecting it to a computer.",02/03/2017,https://www.bloomberg.com/news/videos/2017-03-02/meet-the-ai-tennis-ref-that-can-be-bought-for-200,http://gadgetsandwearables.com/wp-content/uploads/2017/03/8208m.jpg,https://www.youtube.com/watch?v=Yd3XD-JWR5I
InteractiveSquash Uses Augmented Reality to Upgrade Squash,Interactive Experiences,#squash #shot,InteractiveSquash uses augmented reality to create a unique and immersive playing experience. InteractiveSquash augments the front wall of the court with a variety of projections to produce digitally enhanced interactive squash games.,02/03/2017,http://www.sporttechie.com/2017/03/02/othersports/interactivesquash-uses-augmented-reality-to-upgrade-squash/,http://interactivesquash.com/wp-content/uploads/2017/02/ND3B6176-1024x686.jpg,https://www.youtube.com/watch?v=0N6OSVwGiRE
Big East Men’s Basketball Tournament in VR,VR,#basketball #live,"For the Big East men’s basketball tournament, fans will be able to witness the action from Madison Square Garden “live” in virtual reality.
After downloading the FOX Sports VR app, users can choose to either watch via a 360-degree viewing experience on their smartphone or with a Samsung Gear VR or cardboard headset.
“This blend of virtual reality provides the promise of the second screen in a way that has not been delivered before,” Michael Davies, FOX Sports Senior Vice President",02/03/2017,http://www.sporttechie.com/2017/03/02/sports/ncaa/ncaabasketball/fox-sports-to-live-stream-big-east-mens-basketball-tournament-in-virtual-reality/,http://www.sporttechie.com/wp-content/uploads/2017/03/Big-East-VR-image-e1488469353361.jpg,
Revenues from eSports expected to hit $696 million in 2017,E-Sport,#revenues,"Revenues from eSports are expected to increase from $493 million in 2016 to $696 million in 2017, according to Newzoo.
The intelligence firm has released its latest Global eSports Market Report which studies the current state of eSports around the world and predicts its growth for the future.
It states that global revenues for eSports are expected to grow to over $1.4 billion by 2020. $1.2 billion of this is expected to be generated by sponsorships, media rights, and advertising.

",14/02/2017,http://www.pocketgamer.biz/news/65082/newzoo-esports-report-2017/,https://pnimg.net/w/articles/0/571/a3c3b4c9c9.jpg,
Paris Saint-Germain launches ambitious esports project,E-Sport,#esports #psg,"Club president Al-Khelaifi said: “We have decided to invest in eSport and to enter our teams in two of the sector’s most iconic games. The decision forms part of the club’s international development strategy and our digitisation project, and represents a new way for Paris Saint-Germain to engage with its fans and to attract new ones in key development markets. We have big plans for the next three years.”",20/10/2016,http://www.psg.fr/en/News/112002/Article-Club-s-Side/77444/Paris-Saint-Germain-launches-ambitious-eSports-project,http://s.psg.fr/psg/image/article/illustration/m/388/77444.jpg,
League of Legends tournament gathers more than NBA finals,E-Sport,#awesome #lol,"It's now official, E-sport events gather much more viewers than traditionnal events. The NBA Finals drew 30.8 million viewers, while the “League” final drew 43 million. And so, owners of professional sports franchises, particularly NBA owners, are buying stakes in e-sports teams on a seemingly monthly basis.",21/02/2017,http://dailycampus.com/stories/2017/2/20/column-make-rocket-league-the-first-great-american-e-sport,https://i.ytimg.com/vi/5ctAZs3MfH8/maxresdefault.jpg,
Twitter is building an e-sports streaming platform,E-Sport,#twitter #live,"Twitter has had live-streaming deals with the NFL, NBA, MLB and NHL, now comes a live-streaming deal that takes Twitter into the burgeoning world of eSports. ESL and Dreamhack, two of the most recognized e-sport institutions worlwide, make part of this deal which aims to provide live-streaming during their events on Twitter.",02/03/2017,http://www.theverge.com/2017/3/2/14788090/twitter-esl-dreamhack-iem-live-esports-stream,https://cdn0.vox-cdn.com/thumbor/kvDbNkJGHntHMQLZq2K03B-R2VI=/0x0:2048x1365/1720x1147/filters:focal(861x520:1187x846):format(webp)/cdn0.vox-cdn.com/uploads/chorus_image/image/53495261/16788671036_1a4e717620_k.0.jpg,
"Twitch Introduces Pulse, a Facebook-Style News Feed",E-Sport,#twitch #social,"""Twitch's new Pulse feed allows users to view all posts shared by friends and users they follow in a single place"". It's a bit like the facebook home page, where you see every news from friends and pages you follow. Much friends, such social.",09/03/2017,http://www.adweek.com/digital/twitch-introduces-pulse-a-facebook-style-news-feed/,http://img.bfmtv.com/c/630/420/05ff/f43f122b2ca03302d3069543d95f.jpeg,
Dugout launches his football news app,App,#football #news,"Dugout, a digital content platform that has the combined support of many of the most powerful football clubs in the world, is launching his new app, according to this impressive stat : 80% of the viewers are on mobile phone. The creator says it's a huge moment for them because ""we can now give the viewers a bigger, better and more personalised experience"".",09/03/2017,http://www.sporttechie.com/2017/03/09/sports/soccer/dugout-digital-platform-for-top-soccer-teams-and-players-launches-mobile-app/,http://m.mlb.com/assets/images/7/4/8/169729748/cuts/kuntz_ipad_1280_o6mw23yq_18kfldwj.jpg,
FDJ partners Webedia for major push into eSports market,E-Sport,#business,"FDJ will work with Webedia, which owns and operates a series of online media brands such as film site Allocine and gaming portals GameStar and 3DJuegos, to develop the new eSports business.",20/02/2017,http://www.gamingintelligence.com/business/41928-fdj-partners-webedia-for-major-push-into-esports-market,http://static1.fr.webedia-group.com/articles/4/27/4/@/1454-fdj-esport-opengraph_1200-1.jpg,
